,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
VRA,-121.8,0.093,87.616,0.57,0.094,0.093,0.078,0.333,0.967,0.438,0.638
HOWL,-12.8,0.253,-179.151,0.158,0.171,0.436,0.438,0.496,0.721,0.807,0.071
MASS,-88.8,0.128,-193.331,0.131,0.128,0.515,0.102,0.041,0.505,0.807,0.24
EML,153.9,0.683,121.158,0.619,0.511,0.584,0.568,0.446,0.819,0.837,0.915
SEDA,28.3,0.346,-66.679,0.353,0.321,0.42,0.241,0.355,0.447,0.438,0.638
OPAD,-236.2,0.022,-48.287,0.38,0.013,0.071,0.165,0.731,0.16,0.044,0.071
GBFH,80.1,0.477,113.794,0.609,0.552,0.6,0.488,0.872,0.026,0.438,0.194
INVZ,-121.1,0.094,-214.616,0.095,0.013,0.277,0.349,0.191,0.646,0.807,0.071
MCAA,9.3,0.3,-145.186,0.227,0.256,0.349,0.241,0.355,0.425,0.438,0.638
EPM,336.3,0.975,303.419,0.859,0.968,0.925,0.703,0.796,0.944,0.438,0.914
MNTN,-72.9,0.15,-259.586,0.036,0.247,0.343,0.241,0.355,0.43,0.438,0.071
CSHX,22.8,0.331,238.403,0.778,0.633,0.165,0.593,0.302,0.026,0.438,0.921
LGI,164.3,0.713,377.208,0.929,0.927,0.217,0.714,0.677,0.572,0.438,0.638
WTRV,-129.9,0.087,-283.55,0.019,0.849,0.043,0.038,0.638,0.175,0.438,0.291
ATLX,-334.4,0.003,-242.725,0.055,0.063,0.043,0.015,0.575,0.026,0.438,0.071
CAPR,-20.0,0.239,-245.017,0.052,0.147,0.847,0.349,0.223,0.187,0.807,0.071
TCX,-74.5,0.148,-173.621,0.172,0.063,0.192,0.124,0.786,0.056,0.92,0.312
CANG,-165.7,0.059,8.207,0.456,0.097,0.043,0.042,0.758,0.752,0.848,0.304
RCKY,114.5,0.569,370.324,0.924,0.491,0.641,0.622,0.295,0.246,0.438,0.911
MHI,59.3,0.423,109.737,0.603,0.5,0.074,0.922,0.225,0.76,0.438,0.638
DRTS,-40.3,0.201,-183.547,0.148,0.207,0.145,0.241,0.271,0.739,0.438,0.301
PROF,-174.3,0.053,-277.885,0.024,0.013,0.07,0.349,0.01,0.559,0.807,0.231
HOFT,9.0,0.3,90.214,0.574,0.223,0.219,0.328,0.788,0.798,0.438,0.208
PDLB,-149.2,0.071,65.693,0.538,0.121,0.583,0.103,0.166,0.153,0.438,0.071
SMLR,473.0,0.999,290.473,0.843,0.985,0.994,0.982,0.9,0.62,0.986,0.221
TDF,-55.4,0.176,-40.261,0.39,0.18,0.009,0.87,0.226,0.312,0.438,0.638
EOD,81.3,0.48,272.013,0.821,0.801,0.113,0.508,0.691,0.509,0.438,0.866
CTRN,150.0,0.673,-30.587,0.403,0.851,0.32,0.43,0.973,0.099,0.438,0.932
ETX,95.3,0.516,88.523,0.572,0.272,0.435,0.616,0.31,0.988,0.438,0.372
FLXS,154.1,0.684,293.129,0.847,0.819,0.17,0.705,0.667,0.483,0.438,0.999
CADL,-58.3,0.171,-238.708,0.06,0.392,0.145,0.091,0.29,0.994,0.807,0.302
OPRX,-73.8,0.149,-127.034,0.261,0.168,0.315,0.036,0.667,0.58,0.438,0.945
PBAM,136.2,0.633,246.765,0.79,0.754,0.689,0.635,0.481,0.026,0.438,0.907
EGAN,251.4,0.902,75.911,0.553,0.725,0.835,0.765,0.729,0.703,0.807,0.957
NHHS,-232.2,0.024,-190.267,0.136,0.11,0.043,0.073,0.235,0.212,0.438,0.178
BARK,102.8,0.537,7.584,0.455,0.392,0.446,0.529,0.693,0.708,0.438,0.266
VIRC,250.2,0.901,383.849,0.934,0.903,0.851,0.821,0.518,0.56,0.438,0.31
OVLY,133.0,0.624,233.028,0.771,0.788,0.384,0.831,0.531,0.026,0.438,0.941
TRVG,-173.7,0.053,33.932,0.492,0.013,0.085,0.107,0.661,0.566,0.438,0.167
CPSS,247.3,0.897,423.76,0.958,0.927,0.887,0.819,0.344,0.126,0.438,0.937
PKBK,146.9,0.664,273.984,0.824,0.671,0.532,0.829,0.568,0.126,0.438,0.923
NNBR,-174.7,0.053,-67.664,0.352,0.03,0.062,0.318,0.541,0.158,0.438,0.149
NWFL,77.5,0.47,214.893,0.746,0.735,0.196,0.856,0.339,0.026,0.438,0.934
MOND,-77.6,0.143,-203.299,0.114,0.749,0.649,0.015,0.338,0.126,0.438,0.238
KLTR,-93.2,0.123,-200.722,0.118,0.013,0.25,0.349,0.781,0.06,0.807,0.169
NTG,77.5,0.47,133.228,0.635,0.704,0.162,0.385,0.611,0.86,0.438,0.933
NPV,43.7,0.384,55.516,0.523,0.42,0.073,0.893,0.235,0.66,0.438,0.397
BWFG,163.4,0.711,357.613,0.914,0.773,0.817,0.769,0.39,0.126,0.438,0.344
OXSQ,-5.4,0.267,110.304,0.604,0.063,0.043,0.922,0.524,0.511,0.438,0.345
AMNF,242.0,0.889,-12.31,0.427,0.776,0.74,0.894,0.809,0.833,0.438,0.321
APPS,170.0,0.728,69.822,0.545,0.41,0.775,0.374,0.911,0.539,0.986,0.231
MAV,35.3,0.364,33.117,0.49,0.229,0.112,0.82,0.297,0.696,0.438,0.638
DXLG,234.5,0.877,413.991,0.952,0.749,0.64,0.859,0.891,0.277,0.438,0.979
BKSY,47.7,0.394,-232.652,0.066,0.392,0.277,0.349,0.534,0.891,0.851,0.231
SEVN,75.9,0.465,341.047,0.899,0.64,0.404,0.779,0.299,0.277,0.438,0.217
OPP,-10.9,0.257,-153.859,0.21,0.671,0.267,0.385,0.526,0.51,0.438,0.071
QSG,177.6,0.749,117.66,0.615,0.824,0.2,0.671,0.978,0.226,0.972,0.356
APGT,52.5,0.406,-236.957,0.061,0.945,0.525,0.091,0.194,0.226,0.807,0.638
AYRWF,-78.2,0.143,-185.629,0.143,0.013,0.821,0.054,0.592,0.829,0.438,0.186
SSTI,208.7,0.827,-141.039,0.232,0.793,0.825,0.783,0.604,0.478,0.928,0.187
MIO,13.3,0.31,53.072,0.519,0.221,0.165,0.438,0.355,0.895,0.438,0.638
AEVA,-223.2,0.027,-183.317,0.149,0.276,0.043,0.015,0.18,0.35,0.807,0.25
QUIK,82.5,0.482,-219.336,0.083,0.392,0.905,0.349,0.873,0.246,0.807,0.071
TDUP,-41.1,0.199,-159.774,0.198,0.04,0.382,0.349,0.702,0.39,0.438,0.154
NAK,-11.3,0.256,-181.008,0.154,0.329,0.242,0.241,0.159,0.525,0.438,0.638
PFMT,75.2,0.464,-190.413,0.135,0.221,0.455,0.476,0.656,0.865,0.438,0.246
QRHC,84.0,0.486,-192.14,0.133,0.196,0.499,0.528,0.897,0.293,0.438,0.231
HBIO,98.8,0.525,-89.535,0.32,0.421,0.364,0.743,0.139,0.833,0.989,0.216
ASUR,178.9,0.752,-140.846,0.233,0.331,0.978,0.676,0.587,0.475,0.952,0.071
OTLK,-60.0,0.168,-256.95,0.04,0.882,0.145,0.241,0.271,0.226,0.438,0.071
CHMG,127.6,0.607,363.694,0.919,0.768,0.624,0.457,0.786,0.026,0.438,0.893
OCN,-92.8,0.123,-140.366,0.234,0.136,0.336,0.174,0.168,0.026,0.438,0.242
INMB,26.0,0.34,-224.019,0.075,0.392,0.277,0.349,0.251,0.552,0.807,0.318
CIO,22.3,0.33,83.014,0.563,0.309,0.576,0.177,0.541,0.525,0.438,0.192
PRQR,-34.9,0.21,-70.502,0.348,0.207,0.189,0.349,0.241,0.252,0.807,0.311
TSQ,-115.2,0.1,-79.13,0.336,0.266,0.066,0.144,0.576,0.026,0.438,0.301
FFNW,66.5,0.442,95.339,0.583,0.517,0.428,0.664,0.23,0.026,0.438,0.908
RGTI,-179.1,0.05,-191.999,0.133,0.152,0.277,0.038,0.638,0.527,0.807,0.071
