,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
MSFT,393.9,0.993,-115.129,0.281,0.965,0.918,0.967,0.69,0.754,0.918,0.944
AAPL,372.8,0.988,68.405,0.543,0.98,0.64,0.937,0.98,0.026,0.98,0.999
NVDA,501.1,1.0,-198.551,0.123,0.997,0.976,0.996,0.816,0.947,0.884,0.328
GOOGL,390.3,0.992,34.46,0.492,0.977,0.824,0.956,0.876,0.83,0.87,0.971
GOOG,390.3,0.992,34.46,0.492,0.977,0.824,0.956,0.876,0.83,0.87,0.971
AMZN,322.4,0.968,-114.291,0.283,0.922,0.967,0.834,0.868,0.359,0.438,0.265
META,436.4,0.997,-33.396,0.399,0.987,0.891,0.985,0.867,0.797,0.807,0.992
BRK-B,298.5,0.952,285.184,0.837,0.957,0.898,0.722,0.611,0.529,0.438,0.951
BRK-A,298.5,0.952,285.184,0.837,0.957,0.898,0.722,0.611,0.529,0.438,0.951
TSM,61.3,0.428,33.078,0.49,0.287,0.696,0.241,0.491,0.269,0.438,0.638
LLY,243.5,0.891,-232.442,0.066,0.933,0.884,0.725,0.859,0.06,0.807,0.25
AVGO,336.6,0.975,-110.939,0.287,0.997,0.641,0.994,0.316,0.192,0.873,0.909
V,398.3,0.994,-19.712,0.417,0.99,0.714,0.991,0.764,0.352,0.438,0.999
JPM,201.0,0.808,169.621,0.685,0.857,0.833,0.789,0.083,0.126,0.438,0.998
NONOF,486.3,0.999,422.853,0.957,0.997,0.995,0.99,0.666,0.245,0.891,0.946
NVO,486.3,0.999,-187.41,0.14,0.997,0.995,0.99,0.666,0.245,0.891,0.946
TSLA,364.1,0.985,-121.332,0.271,0.958,0.985,0.512,0.871,0.903,0.91,0.311
WMT,229.8,0.868,85.703,0.567,0.902,0.604,0.637,0.94,0.199,0.438,0.923
XOM,203.2,0.813,299.58,0.854,0.731,0.473,0.516,0.895,0.864,0.438,0.986
MA,375.6,0.989,-106.342,0.294,0.997,0.792,0.99,0.655,0.026,0.438,0.999
LVMUY,259.4,0.913,54.884,0.522,0.965,0.906,0.894,0.046,0.558,0.438,0.894
LVMHF,259.4,0.913,54.884,0.522,0.965,0.906,0.894,0.046,0.558,0.438,0.894
UNH,301.2,0.954,222.591,0.757,0.969,0.833,0.696,0.925,0.193,0.438,0.969
ASMLF,377.0,0.989,-205.767,0.109,0.997,0.952,0.971,0.126,0.245,0.878,0.931
ASML,377.0,0.989,-188.545,0.138,0.997,0.952,0.971,0.126,0.245,0.878,0.931
TCTZF,125.0,0.6,235.983,0.775,0.763,0.214,0.763,0.667,0.465,0.438,0.901
TCEHY,228.2,0.865,240.104,0.781,0.928,0.425,0.763,0.871,0.465,0.438,0.901
PG,238.7,0.884,96.445,0.584,0.978,0.439,0.875,0.614,0.302,0.438,0.913
JNJ,291.0,0.946,264.05,0.812,0.994,0.324,0.976,0.412,0.536,0.848,0.907
LTMAY,-141.9,0.077,-195.972,0.127,0.013,0.096,0.716,0.434,0.226,0.438,0.007
HD,171.4,0.731,130.313,0.631,0.997,0.061,0.727,0.911,0.026,0.438,0.958
ORCL,-16.1,0.247,55.496,0.523,0.207,0.129,0.582,0.422,0.126,0.851,0.253
TOYOF,138.0,0.639,154.104,0.664,0.446,0.616,0.494,0.337,0.46,0.438,0.995
TM,138.0,0.639,154.105,0.664,0.446,0.616,0.494,0.337,0.46,0.438,0.995
JPM-PC,201.0,0.808,319.522,0.878,0.857,0.833,0.789,0.083,0.126,0.438,0.998
JPM-PD,201.0,0.808,321.387,0.88,0.857,0.833,0.789,0.083,0.126,0.438,0.998
COST,315.9,0.964,-115.328,0.281,0.964,0.86,0.601,0.979,0.336,0.438,0.932
MRK,-28.3,0.222,-34.993,0.397,0.631,0.343,0.086,0.833,0.296,0.807,0.171
CVX,168.2,0.723,288.202,0.841,0.507,0.464,0.459,0.87,0.956,0.438,0.959
ABBV,-32.9,0.214,-6.512,0.436,0.916,0.089,0.169,0.428,0.026,0.886,0.17
BML-PH,82.9,0.484,284.662,0.836,0.637,0.574,0.564,0.049,0.126,0.438,0.976
CRM,263.4,0.918,-32.511,0.4,0.711,0.792,0.918,0.593,0.688,0.888,0.934
BAC,82.9,0.484,290.093,0.843,0.637,0.574,0.564,0.049,0.126,0.438,0.976
BAC-PE,82.9,0.484,298.069,0.852,0.637,0.574,0.564,0.049,0.126,0.438,0.976
AMD,120.3,0.587,-93.347,0.315,0.408,0.839,0.413,0.143,0.776,0.807,0.353
BML-PL,82.9,0.484,300.473,0.855,0.637,0.574,0.564,0.049,0.126,0.438,0.976
NFLX,353.6,0.982,-122.077,0.27,0.97,0.774,0.929,0.65,0.583,0.982,0.975
NSRGF,133.1,0.624,84.712,0.565,0.988,0.101,0.871,0.291,0.161,0.044,0.976
NSRGY,133.1,0.624,84.712,0.565,0.988,0.101,0.871,0.291,0.161,0.044,0.976
BML-PJ,82.9,0.484,310.916,0.868,0.637,0.574,0.564,0.049,0.126,0.438,0.976
HESAY,388.9,0.991,-143.806,0.229,0.979,0.989,0.982,0.135,0.904,0.438,0.363
HESAF,388.9,0.991,-146.945,0.224,0.979,0.989,0.982,0.135,0.904,0.438,0.363
KO,272.7,0.929,86.002,0.568,0.986,0.725,0.946,0.584,0.203,0.438,0.283
BAC-PB,82.9,0.484,318.514,0.876,0.637,0.574,0.564,0.049,0.126,0.438,0.976
BAC-PK,82.9,0.484,321.781,0.88,0.637,0.574,0.564,0.049,0.126,0.438,0.976
IDCBY,110.1,0.557,474.831,0.979,0.52,0.381,0.876,0.594,0.126,0.438,0.638
LRLCF,246.5,0.896,-58.208,0.365,0.922,0.643,0.872,0.188,0.905,0.877,0.873
LRLCY,246.5,0.896,-32.074,0.401,0.922,0.643,0.872,0.188,0.905,0.877,0.873
FMXUF,103.4,0.538,307.42,0.864,0.452,0.564,0.555,0.772,0.245,0.438,0.253
SHEL,18.8,0.322,373.454,0.927,0.336,0.33,0.309,0.596,0.645,0.044,0.638
PEP,248.6,0.899,91.38,0.576,0.981,0.714,0.811,0.811,0.16,0.438,0.266
FMX,103.4,0.538,-78.99,0.336,0.452,0.564,0.555,0.772,0.245,0.438,0.253
LIN,151.0,0.675,-25.874,0.409,0.821,0.314,0.961,0.508,0.499,0.044,0.887
TMO,207.8,0.825,-4.671,0.438,0.778,0.568,0.719,0.338,0.704,0.876,0.994
AZNCF,218.3,0.847,-3.457,0.44,0.829,0.899,0.939,0.043,0.463,0.829,0.406
SAPGF,260.1,0.914,-47.347,0.381,0.87,0.69,0.895,0.532,0.931,0.835,0.89
SAP,260.1,0.914,-24.446,0.411,0.87,0.69,0.895,0.532,0.931,0.835,0.89
AZN,218.3,0.847,-0.511,0.445,0.829,0.899,0.939,0.043,0.463,0.829,0.406
ADBE,373.9,0.988,-95.992,0.31,0.984,0.834,0.959,0.611,0.865,0.848,0.963
DIS,122.3,0.592,60.714,0.53,0.445,0.676,0.654,0.448,0.739,0.438,0.223
ACGBY,105.8,0.545,474.43,0.979,0.518,0.447,0.825,0.65,0.026,0.438,0.638
WFC,82.9,0.484,298.891,0.853,0.729,0.535,0.731,0.071,0.026,0.438,0.913
RHHVF,154.5,0.685,225.475,0.761,0.969,0.236,0.878,0.112,0.292,0.83,0.889
RHHBY,154.5,0.685,225.475,0.761,0.969,0.236,0.878,0.112,0.292,0.83,0.889
ACN,320.6,0.966,56.405,0.524,0.967,0.815,0.735,0.943,0.769,0.438,0.913
CSCO,333.3,0.973,192.853,0.716,0.978,0.703,0.907,0.747,0.598,0.909,0.925
WFC-PY,82.9,0.484,304.055,0.86,0.729,0.535,0.731,0.071,0.026,0.438,0.913
QCOM,153.8,0.683,85.875,0.568,0.918,0.616,0.177,0.508,0.492,0.828,0.906
MCD,35.4,0.364,188.724,0.711,0.013,0.104,0.988,0.489,0.226,0.438,0.923
NVS,238.9,0.884,236.969,0.776,0.988,0.12,0.976,0.436,0.482,0.828,0.951
NVSEF,238.9,0.884,236.971,0.776,0.988,0.12,0.976,0.436,0.482,0.828,0.951
ABT,192.1,0.786,-5.307,0.438,0.83,0.433,0.649,0.577,0.827,0.968,0.303
TMUS,178.3,0.75,151.702,0.66,0.799,0.297,0.913,0.572,0.193,0.438,0.998
CAT,377.2,0.989,179.96,0.699,0.997,0.899,0.946,0.447,0.172,0.877,0.996
BABA,260.8,0.915,203.468,0.731,0.636,0.724,0.807,0.679,0.895,0.963,0.955
BABAF,260.8,0.915,439.186,0.965,0.636,0.724,0.807,0.679,0.895,0.963,0.955
WFC-PL,82.9,0.484,317.342,0.875,0.729,0.535,0.731,0.071,0.026,0.438,0.913
DHR,106.9,0.548,-18.819,0.419,0.632,0.408,0.43,0.11,0.952,0.961,0.345
AMAT,381.5,0.99,50.96,0.517,0.976,0.905,0.917,0.304,0.804,0.952,0.997
INTU,306.4,0.958,-144.995,0.227,0.794,0.907,0.904,0.777,0.712,0.849,0.926
PROSY,-7.1,0.264,39.558,0.5,0.477,0.263,0.556,0.323,0.724,0.438,0.071
PROSF,-7.1,0.264,48.103,0.513,0.477,0.263,0.556,0.323,0.724,0.438,0.071
TTFNF,211.0,0.832,412.515,0.952,0.889,0.414,0.599,0.892,0.473,0.438,0.944
TTE,211.0,0.832,412.515,0.952,0.889,0.414,0.599,0.892,0.473,0.438,0.944
IBM,245.9,0.895,147.974,0.656,0.991,0.491,0.905,0.546,0.151,0.978,0.206
VZ,71.9,0.455,291.588,0.845,0.723,0.45,0.52,0.505,0.192,0.438,0.213
GE,101.2,0.532,106.522,0.599,0.905,0.157,0.862,0.137,0.055,0.867,0.914
BACHY,110.3,0.558,474.4,0.979,0.507,0.457,0.831,0.531,0.126,0.438,0.638
PDD,376.0,0.989,65.805,0.538,0.96,0.973,0.959,0.732,0.698,0.982,0.191
INTC,-53.0,0.18,-92.174,0.316,0.345,0.16,0.287,0.734,0.612,0.807,0.14
CICHY,116.6,0.576,475.521,0.979,0.566,0.435,0.877,0.67,0.026,0.438,0.638
HSBC,153.9,0.683,379.614,0.932,0.777,0.478,0.843,0.549,0.026,0.438,0.961
UBER,231.9,0.872,-90.673,0.319,0.845,0.859,0.791,0.793,0.092,0.987,0.213
NOW,357.8,0.984,-137.739,0.24,0.921,0.991,0.896,0.706,0.544,0.829,0.296
AXP,244.3,0.893,154.314,0.664,0.978,0.854,0.517,0.335,0.026,0.438,0.998
CMCSA,205.4,0.819,367.164,0.922,0.914,0.398,0.911,0.663,0.184,0.438,0.927
COP,197.5,0.8,262.556,0.81,0.84,0.521,0.498,0.759,0.831,0.438,0.942
BHP,39.1,0.373,242.489,0.785,0.907,0.188,0.194,0.519,0.388,0.438,0.203
BHPLF,39.1,0.373,242.489,0.785,0.907,0.188,0.194,0.519,0.388,0.438,0.203
TXN,198.6,0.803,2.184,0.448,0.924,0.608,0.661,0.138,0.561,0.986,0.247
BX,53.7,0.409,-103.657,0.298,0.898,0.264,0.429,0.406,0.055,0.438,0.24
PFE,-84.2,0.134,9.114,0.457,0.684,0.231,0.098,0.192,0.378,0.845,0.156
SMAWF,231.2,0.871,226.078,0.762,0.89,0.618,0.893,0.2,0.299,0.982,0.896
SIEGY,231.2,0.871,182.808,0.703,0.89,0.618,0.893,0.2,0.299,0.982,0.896
IDEXY,329.0,0.972,53.75,0.52,0.98,0.845,0.898,0.724,0.903,0.438,0.397
IDEXF,282.7,0.938,30.893,0.487,0.964,0.73,0.882,0.579,0.888,0.438,0.873
AMGN,184.6,0.767,131.887,0.633,0.994,0.453,0.622,0.411,0.026,0.853,0.254
HDB,227.8,0.865,98.714,0.588,0.877,0.856,0.892,0.511,0.026,0.438,0.916
UNP,208.4,0.826,96.59,0.584,0.975,0.552,0.898,0.394,0.066,0.438,0.888
MU,-219.5,0.029,-280.796,0.021,0.196,0.058,0.053,0.06,0.663,0.835,0.203
EADSF,232.4,0.873,-55.68,0.371,0.89,0.946,0.504,0.206,0.126,0.935,0.862
EADSY,232.4,0.873,-33.943,0.398,0.89,0.946,0.504,0.206,0.126,0.935,0.862
MS,15.9,0.316,56.055,0.524,0.628,0.369,0.434,0.061,0.026,0.438,0.929
RY,107.7,0.55,142.53,0.648,0.771,0.774,0.455,0.211,0.126,0.438,0.319
PM,86.2,0.493,262.488,0.81,0.207,0.772,0.613,0.654,0.226,0.438,0.2
NKE,249.1,0.899,40.97,0.502,0.962,0.65,0.526,0.686,0.433,0.438,0.994
ISRG,253.2,0.905,-148.482,0.221,0.832,0.902,0.95,0.139,0.43,0.889,0.311
RTX,26.4,0.342,14.848,0.465,0.496,0.175,0.417,0.587,0.333,0.909,0.205
SPGI,220.7,0.851,-113.429,0.284,0.592,0.781,0.822,0.342,0.913,0.438,0.993
LOW,108.0,0.551,276.878,0.827,0.207,0.245,0.866,0.879,0.126,0.438,0.974
SYK,264.7,0.92,-86.879,0.324,0.865,0.812,0.915,0.155,0.69,0.967,0.884
ARM,176.4,0.745,-122.288,0.269,0.486,0.45,0.889,0.829,0.805,0.807,0.297
NEE,266.6,0.922,77.561,0.555,0.845,0.945,0.98,0.547,0.201,0.438,0.198
GS,17.1,0.318,67.495,0.541,0.559,0.397,0.408,0.062,0.026,0.438,0.953
HON,253.7,0.906,108.55,0.602,0.989,0.327,0.898,0.536,0.092,0.906,0.97
SCHW,52.7,0.407,105.25,0.597,0.726,0.359,0.419,0.172,0.026,0.438,0.968
ETN,243.4,0.891,-80.113,0.334,0.863,0.772,0.895,0.225,0.787,0.881,0.356
CMWAY,107.0,0.548,-12.152,0.428,0.783,0.512,0.521,0.499,0.026,0.438,0.905
SBGSF,208.4,0.826,68.686,0.543,0.82,0.683,0.848,0.245,0.485,0.881,0.88
SBGSY,208.4,0.826,68.688,0.543,0.82,0.683,0.848,0.245,0.485,0.881,0.88
LRCX,369.6,0.987,-17.517,0.421,0.945,0.93,0.899,0.22,0.512,0.999,0.999
WFC-PC,82.9,0.484,391.27,0.939,0.729,0.535,0.731,0.071,0.026,0.438,0.913
BKNG,253.6,0.906,159.085,0.67,0.997,0.574,0.863,0.719,0.026,0.438,0.638
UPS,137.3,0.637,179.831,0.699,0.918,0.251,0.453,0.93,0.202,0.438,0.278
UL,159.9,0.701,213.336,0.744,0.965,0.405,0.767,0.409,0.193,0.044,0.948
MUFG,82.6,0.482,185.264,0.706,0.48,0.688,0.394,0.249,0.026,0.438,0.967
MBFJF,108.9,0.554,438.892,0.964,0.589,0.817,0.394,0.249,0.026,0.438,0.967
SNYNF,98.8,0.525,193.729,0.717,0.499,0.469,0.443,0.207,0.925,0.877,0.29
PGR,271.0,0.927,103.873,0.595,0.967,0.947,0.519,0.684,0.074,0.438,0.918
SNY,98.8,0.525,193.778,0.718,0.499,0.469,0.443,0.207,0.925,0.877,0.29
T,77.7,0.47,448.388,0.969,0.86,0.12,0.915,0.323,0.086,0.438,0.279
TOELF,364.7,0.985,-172.796,0.174,0.97,0.96,0.857,0.442,0.714,0.988,0.355
TOELY,235.5,0.878,377.448,0.93,0.815,0.637,0.857,0.442,0.714,0.988,0.355
BUD,128.3,0.609,201.478,0.728,0.556,0.665,0.739,0.235,0.382,0.438,0.304
BUDFF,128.3,0.609,201.478,0.728,0.556,0.665,0.739,0.235,0.382,0.438,0.304
C,21.5,0.329,92.936,0.579,0.499,0.449,0.323,0.125,0.026,0.438,0.947
ELV,235.9,0.879,192.801,0.716,0.832,0.724,0.419,0.941,0.258,0.438,0.999
BLK,170.7,0.73,84.724,0.565,0.8,0.482,0.966,0.168,0.291,0.438,0.899
DTEGF,134.6,0.628,392.679,0.94,0.816,0.534,0.787,0.345,0.126,0.438,0.411
DTEGY,238.6,0.883,474.378,0.979,0.977,0.694,0.941,0.327,0.156,0.438,0.376
BP,161.7,0.706,433.247,0.962,0.905,0.445,0.729,0.528,0.083,0.438,0.91
DE,371.2,0.987,287.339,0.839,0.994,0.91,0.952,0.556,0.073,0.894,0.959
PLD,201.2,0.809,19.096,0.471,0.54,0.932,0.77,0.626,0.677,0.438,0.195
CIHKY,179.0,0.752,533.839,0.992,0.798,0.655,0.903,0.55,0.126,0.438,0.638
BPAQF,-29.5,0.22,479.709,0.981,0.102,0.197,0.496,0.48,0.086,0.438,0.638
ALIZY,121.3,0.589,298.403,0.853,0.812,0.441,0.415,0.582,0.126,0.438,0.981
LMT,227.9,0.865,210.765,0.741,0.997,0.213,0.824,0.899,0.026,0.438,0.94
RIO,126.0,0.602,357.602,0.914,0.893,0.53,0.532,0.145,0.849,0.044,0.379
TJX,221.0,0.852,78.252,0.556,0.89,0.445,0.739,0.884,0.181,0.438,0.995
MDT,115.4,0.572,114.026,0.61,0.536,0.334,0.67,0.337,0.907,0.988,0.214
AIQUY,159.3,0.699,29.436,0.485,0.768,0.462,0.887,0.214,0.787,0.438,0.365
AIQUF,170.0,0.728,69.716,0.544,0.565,0.779,0.657,0.464,0.722,0.438,0.37
BA,125.0,0.6,-118.641,0.276,0.744,0.676,0.686,0.183,0.126,0.917,0.242
SONY,120.8,0.588,217.586,0.75,0.615,0.502,0.646,0.517,0.078,0.438,0.955
SNEJF,172.7,0.735,631.435,0.999,0.77,0.771,0.646,0.517,0.078,0.438,0.955
KYCCF,266.3,0.922,535.694,0.993,0.821,0.917,0.98,0.192,0.352,0.438,0.638
VRTX,381.6,0.99,13.468,0.463,0.916,0.964,0.943,0.918,0.849,0.807,0.351
PBR-A,217.8,0.846,202.039,0.729,0.945,0.563,0.987,0.599,0.459,0.044,0.203
PBR,217.8,0.846,202.039,0.729,0.945,0.563,0.987,0.599,0.459,0.044,0.203
TD,37.2,0.368,101.703,0.592,0.597,0.655,0.193,0.095,0.026,0.438,0.947
ABNB,393.7,0.993,57.457,0.526,0.997,0.978,0.85,0.748,0.427,0.851,0.278
ADP,238.8,0.884,63.628,0.535,0.997,0.327,0.914,0.762,0.026,0.438,0.905
BSX,223.6,0.857,-138.276,0.24,0.71,0.782,0.894,0.334,0.876,0.999,0.219
CB,192.4,0.787,319.608,0.878,0.87,0.787,0.682,0.097,0.089,0.438,1.0
BMY,181.5,0.759,320.553,0.879,0.97,0.199,0.875,0.46,0.186,0.834,0.943
REGN,225.1,0.86,53.652,0.52,0.853,0.92,0.543,0.153,0.836,0.807,0.882
CI,136.5,0.634,224.023,0.759,0.644,0.513,0.395,0.75,0.172,0.438,0.998
ESLOF,152.1,0.678,33.421,0.491,0.586,0.712,0.774,0.104,0.964,0.848,0.259
ESLOY,152.1,0.678,33.421,0.491,0.586,0.712,0.774,0.104,0.964,0.848,0.259
MMC,294.1,0.949,89.584,0.574,0.986,0.804,0.932,0.593,0.085,0.438,0.934
MSBHF,273.9,0.93,630.994,0.999,0.825,0.928,0.66,0.737,0.325,0.438,0.976
SBUX,86.0,0.492,229.932,0.767,0.095,0.482,0.866,0.828,0.126,0.438,0.355
NTTYY,131.4,0.619,294.356,0.848,0.63,0.465,0.742,0.215,0.334,0.438,0.958
NPPXF,153.1,0.681,625.472,0.999,0.791,0.485,0.742,0.215,0.334,0.438,0.958
ADI,279.7,0.935,45.269,0.508,0.67,0.884,0.973,0.139,0.728,0.903,0.965
IBN,157.4,0.694,88.706,0.572,0.76,0.679,0.707,0.454,0.126,0.438,0.933
UBS,183.3,0.764,346.295,0.904,0.969,0.876,0.844,0.102,0.026,0.438,0.213
SAFRF,-46.2,0.191,43.441,0.506,0.093,0.39,0.288,0.201,0.092,0.438,0.907
SAFRY,250.6,0.901,-69.636,0.349,0.865,0.824,0.824,0.798,0.078,0.438,0.979
KLAC,330.6,0.972,17.8,0.469,0.997,0.891,0.899,0.107,0.026,0.929,0.996
PANW,247.0,0.896,-137.281,0.241,0.872,0.981,0.81,0.456,0.126,0.83,0.215
SHOP,264.5,0.919,-110.22,0.289,0.659,0.957,0.775,0.805,0.529,0.828,0.296
MDLZ,250.2,0.901,177.307,0.695,0.899,0.67,0.939,0.485,0.297,0.438,0.953
SCCO,156.0,0.69,-28.485,0.405,0.976,0.31,0.909,0.295,0.417,0.438,0.18
CSLLY,231.0,0.87,-77.612,0.338,0.819,0.951,0.432,0.187,0.447,0.994,0.296
FI,152.4,0.679,80.439,0.559,0.685,0.434,0.945,0.459,0.249,0.438,0.893
PNGAY,63.3,0.433,582.916,0.998,0.64,0.388,0.393,0.704,0.026,0.438,0.899
PIAIF,49.8,0.399,524.072,0.99,0.447,0.323,0.454,0.78,0.026,0.438,0.638
FRCOY,277.5,0.933,-54.676,0.372,0.845,0.935,0.782,0.576,0.844,0.438,0.401
HTHIF,157.5,0.694,574.98,0.998,0.61,0.535,0.676,0.504,0.361,0.438,0.97
HTHIY,157.5,0.694,222.433,0.757,0.61,0.535,0.676,0.504,0.361,0.438,0.97
MBGYY,198.6,0.803,515.452,0.989,0.844,0.683,0.756,0.252,0.324,0.909,0.638
MBGAF,198.6,0.803,523.829,0.99,0.844,0.683,0.756,0.252,0.324,0.909,0.638
KKR,292.5,0.947,35.856,0.494,0.929,0.957,0.97,0.346,0.126,0.438,0.3
CVS,202.5,0.812,407.612,0.949,0.785,0.684,0.574,0.916,0.179,0.438,0.948
GILD,208.1,0.825,260.956,0.808,0.973,0.552,0.781,0.346,0.361,0.833,0.271
ABLZF,277.6,0.933,127.201,0.628,0.989,0.512,0.889,0.434,0.204,0.91,0.946
HCA,95.8,0.517,305.689,0.861,0.207,0.251,0.726,0.818,0.126,0.438,0.997
CNQ,225.2,0.86,262.945,0.81,0.876,0.524,0.685,0.616,0.831,0.438,0.971
GS-PA,17.1,0.318,161.476,0.674,0.559,0.397,0.408,0.062,0.026,0.438,0.953
USB-PH,59.5,0.424,193.952,0.718,0.667,0.686,0.426,0.405,0.026,0.438,0.214
ABBNY,277.6,0.933,128.217,0.629,0.989,0.512,0.889,0.434,0.204,0.91,0.946
SHECY,251.5,0.903,378.356,0.931,0.813,0.809,0.969,0.168,0.477,0.438,0.974
SHECF,327.9,0.971,537.747,0.993,0.896,0.953,0.969,0.168,0.477,0.438,0.974
SNPS,301.8,0.955,-172.703,0.174,0.914,0.833,0.917,0.746,0.682,0.807,0.886
CFRUY,19.0,0.322,100.957,0.591,0.221,0.465,0.388,0.121,0.467,0.438,0.324
CFRHF,50.9,0.402,100.957,0.591,0.278,0.642,0.388,0.121,0.467,0.438,0.324
STOHF,74.6,0.462,428.65,0.96,0.851,0.367,0.17,0.82,0.326,0.438,0.238
EQNR,74.6,0.462,428.65,0.96,0.851,0.367,0.17,0.82,0.326,0.438,0.238
ANET,431.3,0.997,-135.542,0.251,0.985,0.998,0.99,0.114,0.911,0.874,0.25
DELL,9.6,0.301,257.685,0.804,0.013,0.064,0.672,0.936,0.126,0.878,0.983
GSK,142.2,0.651,275.605,0.826,0.924,0.723,0.417,0.048,0.168,0.835,0.928
AMT,104.4,0.541,-83.379,0.329,0.973,0.252,0.885,0.45,0.026,0.438,0.162
CDNS,380.4,0.99,-142.065,0.231,0.984,0.906,0.955,0.842,0.642,0.807,0.897
BYDDF,338.5,0.976,463.246,0.975,0.955,0.993,0.699,0.668,0.071,0.964,0.638
BYDDY,338.5,0.976,146.762,0.654,0.955,0.993,0.699,0.668,0.071,0.964,0.638
CNI,252.1,0.904,113.715,0.609,0.972,0.329,0.981,0.382,0.312,0.438,0.969
BNPQF,91.8,0.508,202.966,0.73,0.65,0.512,0.596,0.369,0.126,0.438,0.638
BNPQY,91.8,0.508,214.936,0.746,0.65,0.512,0.596,0.369,0.126,0.438,0.638
WM,234.3,0.877,-41.645,0.388,0.982,0.462,0.854,0.664,0.072,0.438,0.956
STLA,355.3,0.983,463.559,0.975,0.957,0.892,0.813,0.82,0.492,0.872,0.996
AXAHF,-3.7,0.271,302.665,0.858,0.598,0.043,0.468,0.651,0.026,0.438,0.955
AXAHY,-3.7,0.271,302.665,0.858,0.598,0.043,0.468,0.651,0.026,0.438,0.955
SFTBF,52.6,0.406,-174.168,0.169,0.35,0.5,0.507,0.37,0.067,0.438,0.638
SFTBY,27.8,0.345,-129.168,0.259,0.454,0.296,0.507,0.37,0.067,0.438,0.638
CMG,392.5,0.993,-132.947,0.254,0.991,0.945,0.89,0.875,0.393,0.438,0.919
ATLKY,355.5,0.983,-7.407,0.435,0.98,0.944,0.874,0.389,0.763,0.903,0.397
MPNGF,180.8,0.757,403.428,0.947,0.567,0.622,0.721,0.865,0.553,0.995,0.178
MPNGY,242.3,0.889,464.104,0.976,0.472,0.932,0.721,0.882,0.553,0.995,0.178
SHW,306.1,0.958,15.102,0.465,0.981,0.703,0.863,0.839,0.126,0.438,0.997
CP,226.1,0.862,-130.011,0.257,0.655,0.929,0.734,0.18,0.847,0.438,0.93
GS-PD,17.1,0.318,171.161,0.687,0.559,0.397,0.408,0.062,0.026,0.438,0.953
RLXXF,195.4,0.794,-7.504,0.434,0.815,0.686,0.892,0.392,0.189,0.438,0.935
MS-PA,15.9,0.316,179.714,0.698,0.628,0.369,0.434,0.061,0.026,0.438,0.929
GD,193.8,0.79,142.374,0.648,0.856,0.72,0.694,0.362,0.429,0.438,0.899
ATLCY,256.5,0.91,417.71,0.954,0.864,0.827,0.894,0.343,0.463,0.9,0.874
ATLPF,256.5,0.91,417.71,0.954,0.864,0.827,0.894,0.343,0.463,0.9,0.874
DGEAF,238.0,0.883,78.769,0.557,0.989,0.651,0.892,0.084,0.18,0.438,0.957
DEO,240.0,0.886,112.059,0.607,0.989,0.651,0.892,0.084,0.18,0.438,0.964
RELX,254.3,0.907,-11.723,0.429,0.988,0.587,0.938,0.374,0.08,0.438,0.943
BCDRF,129.0,0.611,296.237,0.85,0.73,0.693,0.592,0.445,0.026,0.438,0.911
EOG,283.6,0.939,212.834,0.743,0.964,0.63,0.863,0.548,0.959,0.438,0.943
SLB,307.4,0.959,196.545,0.722,0.928,0.893,0.869,0.61,0.554,0.841,0.893
VWAGY,99.8,0.528,517.166,0.989,0.481,0.592,0.646,0.314,0.214,0.438,0.638
SMFNF,133.9,0.626,478.428,0.981,0.501,0.489,0.629,0.769,0.026,0.438,0.995
SMFG,133.9,0.626,267.181,0.815,0.501,0.489,0.629,0.769,0.026,0.438,0.995
TGT,264.4,0.919,215.795,0.747,0.991,0.554,0.704,0.941,0.185,0.438,0.322
ICE,152.3,0.679,41.459,0.503,0.717,0.685,0.978,0.152,0.126,0.438,0.241
RACE,400.3,0.994,-189.467,0.137,0.99,0.938,0.955,0.528,0.377,0.87,0.97
BAMXF,202.0,0.811,403.332,0.946,0.835,0.825,0.742,0.456,0.324,0.438,0.358
BMWYY,171.9,0.733,515.13,0.989,0.718,0.772,0.556,0.319,0.37,0.438,0.96
PBCRY,228.5,0.866,538.937,0.994,0.916,0.783,0.893,0.53,0.152,0.438,0.638
ITW,240.4,0.887,82.583,0.563,0.992,0.385,0.897,0.549,0.063,0.438,0.959
IBDSF,121.2,0.589,232.4,0.77,0.709,0.491,0.898,0.183,0.212,0.438,0.316
CME,160.6,0.703,89.642,0.574,0.732,0.503,0.995,0.363,0.155,0.438,0.204
MPC,186.0,0.771,407.091,0.948,0.919,0.25,0.53,0.977,0.16,0.438,0.946
IBDRY,121.2,0.589,252.314,0.797,0.709,0.491,0.898,0.183,0.212,0.438,0.316
SAN,129.0,0.611,314.267,0.872,0.73,0.693,0.592,0.445,0.026,0.438,0.911
SO,118.1,0.581,51.055,0.517,0.761,0.295,0.944,0.428,0.184,0.438,0.311
CRWD,238.6,0.883,-122.288,0.269,0.611,0.988,0.741,0.614,0.294,0.807,0.226
USB-PP,59.5,0.424,233.426,0.771,0.667,0.686,0.426,0.405,0.026,0.438,0.214
AAIGF,-103.9,0.111,134.414,0.637,0.139,0.043,0.14,0.703,0.055,0.438,0.972
